cust_id,jan_month_spending,jan_month_freq,feb_month_spending,feb_month_freq,mar_month_spending,mar_month_freq,apr_month_spending,apr_month_freq,may_month_spending,may_month_freq,jun_month_spending,jun_month_freq,jul_month_spending,jul_month_freq,aug_month_spending,aug_month_freq,sep_month_spending,sep_month_freq,oct_month_spending,oct_month_freq,nov_month_spending,nov_month_freq,dec_month_spending,dec_month_freq,Monday_spending,Tuesday_spending,Wednesday_spending,Thursday_spending,Friday_spending,Saturday_spending,Sunday_spending,discount_freq,product_types,discount_rate,total_spending,total_freq
139662,909.42,39,751.93,30,519.11,24,809.31,37,855.85,42,821.48,38,819.63,39,878.99,42,954.69,46,833.8,37,766.47,37,826.53,31,1771.56,1839.21,1754.95,1819.36,1430.02,976.81,155.3,0.17536054,936,0.05522918,9747.21,0.605479452
799924,696.05,27,676.27,24,761.82,27,880.36,27,963.13,33,626.13,21,581.22,23,854.18,34,964.33,33,1028.86,33,840.48,32,1234.48,38,966.59,1670.8,1172.17,2026.5,1405.44,1692.34,1173.47,0.282612383,1315,0.149955468,10107.31,0.482191781
1399898,507.25,49,492.85,40,748.02,53,779.53,52,708.55,51,595.44,47,641.64,49,712.98,44,542.81,43,543.36,51,532.81,51,587.45,46,1252.09,1326.91,1332.74,978.19,1602.49,630.92,269.35,0.351973069,815,0.193927763,7392.69,0.789041096
1749580,209.03,11,339.26,11,648.86,17,555.29,12,544.72,11,176.34,9,508.76,13,276.68,9,473.44,19,475.69,16,518.03,19,649.3,23,327.02,495.71,1183.27,377.29,488.56,2146.85,356.7,0.447119179,983,0.201682357,5375.4,0.232876712
1889991,572.25,22,395.6,19,693.43,22,1010.32,34,1145.55,43,785.89,31,1018.64,25,746.44,28,790.68,29,782.12,36,907.22,37,817.83,24,1223.64,2002.8,1563.03,1415.15,1943.41,1225.44,292.5,0.517974226,1114,0.237754231,9665.97,0.479452055
1979557,291.8,23,326.94,22,380.17,19,244.09,16,473.23,21,205.91,15,279.99,26,429.69,33,407.25,25,349.35,30,455.89,29,540.87,38,466.05,858.51,775.08,723.34,774.38,651.8,136.02,0.407393715,923,0.16308727,4385.18,0.406849315
2109544,417.23,11,424.29,9,554.75,15,735.48,13,496.15,13,576.87,20,619.18,11,248.88,10,305.81,10,379.48,9,640.17,21,803.54,26,358.86,263.59,356.91,638.85,924.25,1820.6,1838.77,0.366285939,904,0.171274978,6201.83,0.230136986
2559894,428.73,27,667.3,33,564.9,31,566.93,31,569.65,32,673.14,32,652.51,36,584.59,39,755.25,39,556.46,32,562.4,33,732.32,39,750.55,659.05,933.89,1006.05,1137.72,1544.37,1282.55,0.244042492,1218,0.124466571,7314.18,0.553424658
2649945,380.44,23,240.83,15,358.97,20,431.79,22,422.53,25,453.21,27,732.91,28,483.54,23,481.9,28,411.66,27,459.06,25,365.36,17,509.31,1008.65,850.01,680.11,928.94,642.15,603.03,0.414868106,653,0.194929887,5222.2,0.383561644
3249808,329.32,18,370.57,17,531.78,28,384.84,22,417.05,23,368.62,25,609.34,23,520.21,27,489.15,26,478.12,30,369.62,21,587.03,25,129.3,773.5,401.72,560.4,1426.68,1548.78,615.27,0.362528561,548,0.162035757,5455.65,0.390410959
3409828,403.05,27,345.81,22,660.32,31,566.03,25,414.06,23,421.93,22,541.57,25,593.82,31,460.93,28,354.35,25,404.99,22,466.28,24,312.42,1494.91,1052.03,984.17,813.32,475.69,500.6,0.284443246,880,0.166433852,5633.14,0.417808219
3579812,504.66,27,443.09,23,593.88,24,764.47,24,521.87,21,438.94,20,418.29,19,527.32,19,481.32,19,474.26,18,352.6,21,340.18,19,739.21,940.04,831.32,1030.46,1347.82,518.72,453.31,0.388981636,821,0.18759114,5860.88,0.347945205
3939747,559.87,29,405.77,23,647.41,30,470.38,28,599.63,30,540.19,26,631.7,27,637.4,34,549.07,24,553.51,30,689.53,31,519.9,24,221.5,2633.73,610.02,475.9,414.21,314.86,2134.14,0.350147396,592,0.176143821,6804.36,0.460273973
4019802,515.09,13,520.39,22,775.69,15,844.58,17,854.19,22,628.53,22,489.77,17,726.5,32,722.43,28,703.54,28,715.75,30,840.82,25,632.82,1625.88,2071.95,1351.41,1331.02,857.39,466.81,0.435804196,1255,0.215198119,8337.28,0.371232877
4029993,510.97,33,454.67,28,704.75,32,500.1,36,449.91,33,441.33,32,508.68,30,612.81,28,497.77,24,536.66,33,471.66,25,397.94,26,892.08,1157.94,902.61,595.25,532.83,1126.3,880.24,0.320408777,1184,0.177098401,6087.25,0.493150685
